序號,補習班,設立人,班主任,班 址,電 話,廢止/註銷,發文日期,廢止/註銷文號,廢止/註銷日期,縣市
1,三摩地有限公司附設臺北市私立敦化三摩地瑜珈短期補習班,三摩地有限公司(陳若菁),何宜謙,松山區敦化南路1段90號2樓之1,0227118996,註銷,2024-08-27,北市教終字第1133088100號,2024-08-27,台北市
2,陽光森林文教股份有限公司附設臺北市私立新生語文短期補習班,陽光森林文教股份有限公司,游秀貞,中正區新生南路1段166號1樓至3樓,2351-5329,註銷,2024-08-27,北市教終字第1133088569號,2024-08-27,台北市
3,三摩地有限公司附設臺北市私立瘋瑜珈技藝短期補習班,三摩地有限公司,梁騰云,松山區敦化南路1段98號1樓,(02)27118996,註銷,2024-08-26,北市教終字第1133088093號,2024-08-26,台北市
4,臺北市私立南方文理短期補習班,陳韻曲,陳惠銘,文山區辛亥路4段21巷12、14號1樓,(02)29328553,註銷,2024-08-14,北市教終字第1133085687號,2024-08-14,台北市
5,臺北市私立好玩音樂技藝短期補習班,許雅迪,許雅迪,士林區忠誠路2段140巷18弄5號1樓、2樓,28740867,註銷,2024-08-09,北市教終字第1133084660號,2024-08-09,台北市
6,臺北市私立文汛文理短期補習班,洪若瑜,洪若瑜,北投區石牌路1段39巷131弄8號1樓,28234092,註銷,2024-08-09,北市教終字第1133084657號,2024-08-09,台北市
7,臺北市私立漢鉅文理短期補習班,蕭志豪,蔡明峰,信義區松隆路99號及101號1樓,27650116,註銷,2024-08-09,北市教終字第1133084655號,2024-08-09,台北市
8,創心文教股份有限公司附設臺北巿私立創心文理語文技藝短期補習班大直分班,創心文教股份有限公司(李佳珍),洪堉綸,中山區敬業一路128巷26號3樓,(02)85015700,註銷,2024-08-09,北市教終字第1133084161號,2024-08-09,台北市
9,專心文理補習班,濮傳賢,濮傳賢,大安區和平東路2段40號2樓之1,23661002/23699446,註銷,2024-07-18,北市教終字第1133079860號,2024-07-18,台北市
10,新視界國際文教顧問有限公司附設臺北市私立小字神文理短期補習班,新視界國際文教顧問有限公司(負責人:康俊隆),郭念祖,中正區許昌街17號13樓之1,66173706,註銷,2024-07-18,北市教終字第1133079931號,2024-07-18,台北市
11,臺北市私立愛筆鹿文理短期補習班,歐伯志,歐伯志,大安區羅斯福路2段41號8樓之2,33933677,註銷,2024-07-17,北市教終字第1133079840號,2024-07-17,台北市
12,春牧國際文教事業有限公司附設臺北市私立春牧美語文理短期補習班,春牧國際文教事業有限公司(負責人:鄭美玲),鄭美玲,萬華區和平西路3段309巷15弄45號1樓,(02)2308-3005,註銷,2024-07-16,北市教終字第1133079227號,2024-07-16,台北市
13,臺北市私立文傑文理短期補習班,曾保國,曾保國,士林區中正路212巷3弄2號1樓,28377976,註銷,2024-07-15,北市教終字第1133078493　號,2024-07-15,台北市
14,臺北市私立穩贏文理短期補習班,潘柏堯,潘柏堯,士林區文林路338號4樓之3,(02)2880-6777,註銷,2024-07-02,北市教終字第1133075605　號,2024-07-02,台北市
15,臺北市私立瑋成文理短期補習班,張哲瑋,蕭旭成,北投區磺港路8號8樓,28951005,註銷,2024-07-02,北市教終字第1133075601號,2024-07-02,台北市
16,臺北市私立卓奇文理短期補習班,鍾文駿,黃星瑋,中正區南陽街21之1號5樓,(02)2388-1181,註銷,2024-06-28,北市教終字第1133074251號,2024-06-28,台北市
17,臺北市私立安納貝爾文理技藝短期補習班,陳惠質,張哲榕,大安區新生南路1段161之3號地下1樓,0919-387-511,註銷,2024-06-27,北市教終第1133073812號,2024-06-27,台北市
18,臺北市私立智匯文理技藝短期補習班,鄭宇成,王端生,信義區松山路287巷1之1號1樓,27665019,註銷,2024-06-27,北市教終字第1133073999　號,2024-06-27,台北市
19,臺北市私立藝星文理技藝短期補習班,曾逸星,黃珮真,松山區三民路167巷6號1樓,27630517,註銷,2024-06-24,北市教終字第1133073088號,2024-06-24,台北市
20,臺北市私立維貞文理短期補習班,林維榕,林維榕,大安區樂業街159巷36號1樓,27329840,註銷,2024-06-18,北市教終字第1133069526　號,2024-06-12,台北市
21,臺北市私立禾果音樂技藝短期補習班,胡恕川,劉祐慈,大安區復興南路2段134之1號2樓,(02)2755-1123,註銷,2024-06-11,北市教終字第1133069161號,2024-06-11,台北市
22,臺北市私立黎明和平文理短期補習班,陳嘉珮,曾一鎂,大安區和平東路1段6號4樓之2,33651992,註銷,2024-06-05,北市教終字第1133068418號,2024-06-05,台北市
23,美樂顧問有限公司附設臺北市私立美華文理短期補習班,于國珍,于沂禾,中山區復興北路92號6樓之2,27751820,註銷,2024-06-04,北市教終字第1133067944號,2024-06-04,台北市
1,私立文強文理語文短期補習班,鄭素月,李秋儀,三峽區弘園街36巷8號1、2樓,(02)86711066,註銷,2024-08-07,府教社字第1131500917　號,2024-08-07,新北市
2,私立宏碩語文短期補習班,劉怡君,劉怡君,永和區文化路109號1、2樓,(02)89218988,註銷,2024-08-05,府教社字第1131499087　號,2024-08-05,新北市
3,私立璦俐兒美語短期補習班,鄭宛依,張月紅,三峽區大學路91號(1、2樓),(02)26741285,註銷,2024-07-30,府教社字第1131473078　號,2024-07-31,新北市
4,學達文理短期補習班,吳玉玲,吳玉玲,金山區仁愛路69號1、2樓,(02)24982766,註銷,2024-07-26,府教社字第1131410850　號,2024-07-26,新北市
5,私立名凱文理短期補習班,蘇科宏,林秉臻,中和區光華街31巷11號(1樓),(02)2240-0240,廢止,2024-07-19,府教社字第1131438512號,2024-07-19,新北市
6,私立新快樂堡美語短期補習班,楊淑鈴,郭旖亘,土城區金城路3段73巷9弄2號,(02)22602295,註銷,2024-07-18,府教社字第1131317825　號,2024-07-18,新北市
7,私立資優文德文理短期補習班,陳美莉,曾小玲,蘆洲區水湳街36之11號(1樓),8285-1020,註銷,2024-07-17,府教社字第1131344003　號,2024-07-11,新北市
8,私立莫扎特音樂美術文理短期補習班,林子紜,林玫君,永和區得和路247之2號2樓,(02)2231-6435,註銷,2024-07-11,府教社字第1131344004　號,2024-07-11,新北市
9,私立艾美音美語文理短期補習班,陳韋君,陳韋君,林口區三民路124號1、2樓,2736-2676,註銷,2024-07-11,府教社字第1131344008　號,2024-07-11,新北市
10,私立百特力文理語文短期補習班,黃玥玫,黃玥玫,新莊區建安街38號1樓,(02)22068399,廢止,2024-07-11,府教社字第1131328794　號,2024-07-11,新北市
11,私立大項語文美術短期補習班,項雪貞,項雪貞,板橋區僑中一街80巷10弄7之1號、7之2號2、3樓,(02)29685431,註銷,2024-07-05,府教社字第1131289513　號,2024-07-05,新北市
12,私立致遠齋文理語文短期補習班,王思穎,王思穎,永和區得和路323號1、2樓,(02)29414838,註銷,2024-07-04,府教社字第1131300261　號,2024-07-05,新北市
13,私立嘉得英語文理短期補習班,陳瑩,陳瑩,三重區正義北路113號4樓、4樓-1,(02)89851205,註銷,2024-07-01,府教社字第1131236978　號,2024-07-01,新北市
14,私立芳遠語文短期補習班,林芳年,林芳年,中和區員山路102巷7號1樓,022222520,註銷,2024-06-17,府教社字第1131129057　號,2024-06-17,新北市
15,私立吉優文理短期補習班,賴德義,賴旻鴻,汐止區福德一路86巷12號1、2樓、16號1、2樓、18號、26號9樓,86932846,註銷,2024-06-14,府教社字第1131056931　號,2024-06-14,新北市
16,私立朗朗文理語文短期補習班,張瑤琴,張瑤琴,板橋區民有街73巷10號1樓,(02),註銷,2024-06-14,府教社字第1131098948　號,2024-06-07,新北市
17,私立極致教育股份有限公司附設極上塾崇林文理短期補習班,邱文卿,王韻筑,林口區公園路92號1樓、90號2樓,26090528,註銷,2024-06-14,府教社字第1131087571　號,2024-06-06,新北市
1,私立華陞文理短期補習班,華順發,華順發,桃園區中山東路219號之2第三層部分(前半部),(03)3322394,廢止,2024-08-21,府教終字第1130233022號,2024-08-21,桃園市
2,私立秝沄舞蹈短期補習班,謝滿妹,魏淯汝,中壢區健行路51號1-4樓,(03)4598767,註銷,2024-08-14,府教終字第1130222487號,2024-08-14,桃園市
3,私立里茲文理語文短期補習班,李靜怡,李靜怡,大園區菓林路28號1樓,(03)3838981,註銷,2024-07-26,府教終字第1130204983號,2024-07-26,桃園市
4,私立愛迪兒英語會話短期補習班,楊文雄,楊忠恕,蘆竹區五福一路196號3樓,(03)3126038,註銷,2024-07-22,府教終字第1130200994號,2024-07-22,桃園市
5,私立舞荳音樂舞蹈短期補習班,陳南君,陳亞辰,桃園區宏昌十二街592號1樓,(03)3799441,註銷,2024-07-12,府教終字第1130193463號,2024-07-10,桃園市
6,私立美亞美語短期補習班僑愛分班,簡雅惠,陳玉姍,大溪區僑愛一街100號,(03)3079396,註銷,2024-07-10,府教終字第1130190012號,2024-07-10,桃園市
7,私立學勤文理短期補習班,康甜,陳金闊,蘆竹區洛陽街127號1-2樓,(03)3116001,註銷,2024-07-08,府教終字第1130187440號,2024-07-08,桃園市
8,私立文琳文理短期補習班,邱桂珍,邱尹琪,平鎮區南京路33號1-2樓,(03)4390841,註銷,2024-06-20,府教終字第1130168850號,2024-06-20,桃園市
9,私立點創舞蹈短期補習班,林麗姿,林麗姿,桃園區新埔六街77號13樓之1,(03)3580200,註銷,2024-06-18,府教終字第1130164945號,2024-06-18,桃園市
10,私立聖翔美語短期補習班,林金龍,林金龍,大溪區天祥街79號1-2樓,(03)3871987,註銷,2024-06-18,府教終字第1130165086號,2024-06-18,桃園市
11,私立奇士威美語短期補習班,張佳瓊,張佳瓊,蘆竹區中山路125巷1號1、2樓,(03)3217603,註銷,2024-06-07,府教終字第1130157126號,2024-06-07,桃園市
12,私立競文文理短期補習班,競文教育管理顧問有限公司代表人：曾仁杉,曾仁杉,楊梅區校前路170號1-2樓,(03)4881212、(03)4750367,註銷,2024-06-04,府教終字第1130151179號,2024-06-04,桃園市
13,私立佑育語文文理短期補習班,姜榮國,黃玉秀,楊梅區富榮路15及17號2至4樓,(03)4906733,註銷,2024-06-03,府教終字第1130149726號,2024-06-03,桃園市
1,臺中市私立強昇文理短期補習班,李清木,李清木,407臺中市西屯區國安一路155號1-2樓,(04)24615892,註銷,2024-08-26,中市教終字第1130071794號,2024-08-26,台中市
2,臺中市私立愛爾斯文理短期補習班,曾淑華,謝碧雲,臺中市清水區光華路126號1-2樓,(04)26223732,註銷,2024-08-20,中市教終字第1130070577號,2024-08-20,台中市
3,私立好朋友舞蹈職業短期補習班,陳錦煌,張正榕,400台中市中區雙十路1段1號11樓,04-22247503,廢止,2024-08-20,中市教終字第1130070290號,2024-08-20,台中市
4,臺中市私立楊氏速讀附設英文短期補習班,楊碧山,楊杰璁,臺中市北區育才街3巷3號1-2樓,04-22230330,註銷,2024-08-08,中市教終字第1130067074號,2024-08-08,台中市
5,臺中市私立王瑜文理短期補習班,王永豊,王健寧,臺中市大雅區雅環路二段277號1-4樓,(04)25609636,註銷,2024-08-07,中市教終字第1130066800號,2024-08-07,台中市
6,臺中市私立鐵三角文理短期補習班,何家豪,鍾芳蓉,"臺中市北屯區九龍街121號,使用樓層1-3樓",(04)22335075,註銷,2024-08-01,中市教終字第1130065094號,2024-08-01,台中市
7,臺中市私立傑尼斯美語會話短期補習班,何幸枝,彭賢清,臺中市東區長福路243號2樓,04-22123421,註銷,2024-07-31,中市教終字第1130064371號,2024-07-31,台中市
8,臺中市私立楊宜修國語文短期補習班進化分班,薛銘琪,趙淑芬,臺中市北區進化北路257號1樓及夾層,(04)22352575,註銷,2024-07-22,中市教終字第1130062081號,2024-07-22,台中市
9,私立英資文理短期補習班,邱英慧,邱英慧,406台中市北屯區綏遠路2段213號1~3樓,(04)22492775,註銷,2024-07-16,中市教終字第1130060464號,2024-07-16,台中市
10,私立明昌文理短期補習班,謝素燕,謝素燕,大里區中興路2段150號1樓,(04)24839737,註銷,2024-07-15,中市教終字第1130059808號,2024-07-15,台中市
11,臺中私立百勝數學短期補習班,張瑞芬,張瑞芬,臺中市北屯區平德路142巷9號1~2樓及142巷5號1~2樓,0422923845,註銷,2024-07-12,中市教終字第1130059783號,2024-07-12,台中市
12,臺中市私立吳老師文理短期補習班,吳錫標,吳錫標,臺中市南區永東街19號1樓,04-22626942,註銷,2024-07-09,中市教終字第1130058294號,2024-07-09,台中市
13,臺中市私立加梭利文理短期補習班,羅兆和,羅兆和,402臺中市南區復興路2段42號2樓,04-22602326、22602327,註銷,2024-07-05,中市教終字第1130056052號,2024-07-05,台中市
14,臺中市私立優童文理短期補習班,徐子惠,徐子惠,臺中市太平區大仁街38號 1-2樓,(04)22795003,註銷,2024-07-03,中市教終字第1130056058號,2024-07-03,台中市
15,臺中市私立一塊錢文理短期補習班,張羿元,張羿元,臺中市北區中清路1段642號1樓,(04)22979989,註銷,2024-07-03,中市教終字第1130055850號函,2024-07-03,台中市
16,私立喬海文理短期補習班,蕭雪味,蕭雪味,梧棲區中央路2段244-38號1-2樓,(04)26569612,註銷,2024-07-03,中市教終字第1130056425號,2024-07-03,台中市
17,臺中市私立領航文理短期補習班,盧彥伯,張棋樺,太平區建成街80號1-3樓,22733000、22760671,註銷,2024-07-03,中市教終字第1130056054號,2024-07-03,台中市
18,私立盧老師珠心算短期補習班,盧玉燕,盧玉燕,豐原區惠陽街15號1-2樓,(04)25265485,廢止,2024-07-02,中市教終字第1130055489號,2024-07-02,台中市
19,臺中市私立辰欣文理短期補習班,湯媚玲,呂俊叡,台中市西區樂群街123號1~2樓,04-23730748,註銷,2024-07-01,中市教終字第1130054125號,2024-07-01,台中市
20,臺中市私立宏佳美語短期補習班,劉淑玲,劉淑玲,豐原區瑞興路60號1樓,0932-612276,註銷,2024-06-28,中市教終字第1130053844號,2024-06-28,台中市
21,臺中市私立哈佛DrQ文理短期補習班,李芃萱,李芃萱,臺中市大雅區雅環路二段275號1-4樓,(04)25673306,註銷,2024-06-28,中市教終字第1130054755號,2024-06-28,台中市
22,臺中市私立柏拉圖英語短期補習班,藍媖,沈芳藝,407臺中市西屯區工業區1路60之3號1-2樓,04-23580658,註銷,2024-06-28,中市教終字第1130054547號,2024-06-28,台中市
23,臺中市私立樹德昇榮文理短期補習班,廖瓊玲,盧明桂,臺中市太平區樹德路89號1-4樓,3953629,註銷,2024-06-21,中市教終字第1130052391號,2024-06-21,台中市
24,臺中市私立金冠文理短期補習班,馬朝進,林秀靜,臺中市沙鹿區鎮南路2段367號1-3樓,(04)26369089,註銷,2024-06-13,中市教終字第1130049681號,2024-06-13,台中市
25,臺中市私立麒麟文理短期補習班,葉孫銘,葉孫銘,臺中市大雅區中清路四段50巷27號1-2樓,(04)25664365,註銷,2024-06-05,中市教終字第1130047517號,2024-06-05,台中市
26,臺中市私立靜懿文理短期補習班,彭泰錦,彭泰錦,臺中市烏日區長春街219號1-5樓,(04)23382060,註銷,2024-05-29,中市教終字第1130045389號,2024-06-01,台中市
1,臺南市私立樹人文理短期補習班海佃分班,江芳瑜,陳以軒,安南區富東路197號1-2樓,(06)3585149,註銷,2024-08-28,南市教社字第1131184544號,2024-08-31,台南市
2,臺南市私立A與A+文理短期補習班,徐松枝,許曉莉,南區大同路2段706號2樓,(06)2900588,註銷,2024-08-16,南市教社字第1131138936號,2024-08-05,台南市
3,臺南市私立劉叔叔文理短期補習班,劉豪隆,吳采蓮,關廟區五權街37號1-2樓,06-5964818,註銷,2024-08-12,南市教社字第1131078978號,2024-08-05,台南市
4,臺南市私立永功文理短期補習班崇明分班,劉家慧,秦蕙雯,東區崇明路487號1-2樓,(06)2902525,註銷,2024-08-26,南市教社字第1131186152號,2024-08-01,台南市
5,臺南市私立菖鴻文理短期補習班,陳淑芬,陳冠宇,永康區大橋三街198號1-2樓,(06)3023161,註銷,2024-08-15,南市教社字第1131126030號,2024-07-31,台南市
6,臺南市私立聖葛文理短期補習班,王建明,王建明,仁德區中洲路710巷6號1-2樓,(06)3660180,廢止,2024-07-23,南市教社字第1131018797號,2024-07-23,台南市
7,臺南市私立鳳庭文理短期補習班,蔡長棻,謝淑娟,永康區大灣三街205號2樓,(06)2723083,註銷,2024-07-30,南市教社字第1131041850號,2024-07-19,台南市
8,臺南市私立真善美海佃英文短期補習班,王淑美,王淑美,安南區海佃路1段213巷32號1-2樓,(06)3583111,註銷,2024-07-18,南市教社字第1131000889號,2024-07-01,台南市
9,臺南市私立諾貝爾文理短期補習班,林淑娟,林淑娟,東區裕文路125號1-4樓,(06)3310023,註銷,2024-07-08,南市教社字第1130954149號,2024-07-01,台南市
10,臺南市私立慈幼文理短期補習班,翁信男,吳麗玲,新營區大德街3號1樓,06-6351535,註銷,2024-07-05,南市教社字第1130938006號,2024-07-01,台南市
11,臺南市私立聿品文理短期補習班,林坤宗,柯聿芳,佳里區義民街343號1-2樓,(06)7232985,註銷,2024-07-04,南市教社字第1130925515號,2024-07-01,台南市
12,臺南市私立功成文理短期補習班,侯松安,侯松安,南區鹽埕路103巷82弄26號1-2樓,(06)2911679,註銷,2024-06-20,南市教社字第1130865629號,2024-07-01,台南市
13,臺南市私立聖智英文短期補習班,王聖慈,王聖慈,永康區大灣三街33號1-2樓,(06)2050633,註銷,2024-06-17,南市教社字第1130839768號,2024-07-01,台南市
14,臺南市私立品傑文理短期補習班,林天從,林天從,東區裕文路49號1-2樓,(06)3369229,註銷,2024-06-20,南市教社字第1130865759號,2024-06-28,台南市
1,學習王科技股份有限公司附設楷模書院文理短期補習班,學習王科技股份有限公司(代表人：郭英標),林慧玲,三民區興隆街3號1樓及夾層,380-5092,註銷,2024-08-28,高市教社字第11336621200號,2024-08-28,高雄市
2,志光教育科技股份有限公司附設學廬法商文理公職證照短期補習班,志光教育科技股份有限公司(代表人：張家旗),陳凱貞,三民區建國二路198號1-2樓,235-4321,註銷,2024-08-12,高市教社字第11336089200　號,2024-08-12,高雄市
3,志光教育科技股份有限公司附設正學廬法商文理公職證照短期補習班,志光教育科技股份有限公司（代表人：張家旗君）,顏威育,三民區建國二路198號11樓之1、之2,235-4322 / 235-1234,註銷,2024-08-12,高市教社字第11336089800　號,2024-08-12,高雄市
4,私立卓勝文理短期補習班,蔡宏志,蔡宏志,鼓山區美術東六街117號1樓、119號1樓,522-3665,註銷,2024-08-06,高市教社字第11335888500號,2024-08-09,高雄市
5,財團法人福智文教基金會附設高雄市私立培德文理技藝短期補習班,財團法人福智文教基金會(代表人：陳全成),蔡光亮,楠梓區慶昌街72巷10號1-4樓,363-1534,註銷,2024-08-06,高市教社字第11335880800號,2024-08-07,高雄市
