序號;補習班名稱;班址;電話;立案文號;立案日期;電子郵件;短期補習班類別;地區縣市
1;臺北市私立博學堂文理技藝短期補習班;信義區虎林街164巷12號1樓;0919-503-223;北市教終字第1133015721號;2024-09-02;boxuetang2024@gmail.com;文理類;臺北市政府
2;翱翔學苑顧問有限公司附設私立翱翔學苑文理技藝短期補習班;大同區長安西路106號3樓之3;(02)27293665;北市教終字第1133014536號;2024-08-27;info@fttw.com.tw;文理類;臺北市政府
3;臺北市私立恩迪文理技藝短期補習班光復分班;松山區光復北路216號1樓;(02)27180079;北市教終字第1133014457號;2024-08-23;jack123@outlook.com;文理類;臺北市政府
4;國際數感教育股份有限公司附設私立美數文理技藝短期補習班;大安區新生南路2段8之1號1樓;(02)23587521;北市教終字第1133014036號;2024-08-23;ana.da@numeracylab.com;文理類;臺北市政府
5;臺北市私立小天心米米文理技藝短期補習班;大安區羅斯福路3段273號2樓;(02)23630063;北市教終字第1133013801號;2024-08-19;winnie06230414@gmail.com;文理類;臺北市政府
6;臺北市私立動勵學技藝文理短期補習班;士林區中山北路6段350號2樓;(02)2835-5262;北市教終字第1133015030號;2024-08-16;;文理類;臺北市政府
7;臺北市私立璽典美學文理技藝短期補習班;內湖區石潭路65號1樓;0912490361;北市教終字第1133013900號;2024-08-15;bliss.academylove@gmail.com;文理類;臺北市政府
8;網安智慧科技股份有限公司附設私立網安智慧科技電腦技藝短期補習班;中山區天祥路59號2樓;(02)25856900;北市教終字第1133014198號;2024-08-15;celina.fu@nsit.com.tw;資訊類;臺北市政府
9;臺北市私立謙誠文理短期補習班;士林區忠誠路1段171巷8號1樓;(02)2833-1606;北市教終字第1133014144號;2024-08-14;joyenglishtianmu@gmail.com;文理類;臺北市政府
10;喜閱樹有限公司附設臺北市私立喜閱樹文理短期補習班;文山區興隆路1段235號1樓;(02)2931-1340;北市教終字第1133014034號;2024-08-13;readthinktree@gmail.comm;文理類;臺北市政府
11;共學堂文教有限公司附設臺北市私立共學堂文理短期補習班;文山區忠順街1段127號1樓;(02)2939-7900;北市教終字第1133014035號;2024-08-13;ydk_29333323@meikoschool.com.tw;文理類;臺北市政府
12;臺北市私立唯思文理短期補習班;內湖區康寧路3段165巷25弄6號1樓;(02)26332933;北市教終字第1133013278號;2024-08-08;a1m2y36@gmail.com;文理類;臺北市政府
13;長清民生有限公司附設臺北市私立長清圍棋技藝短期補習班民生分班;松山區富錦街489號1樓;(02)27670178;北市教終字第1133013190號;2024-08-05;hjjgotpms2024@gmail.com;美術、書法、攝影、美工設計、圍棋類;臺北市政府
14;臺北市私立艾瑪畫室技藝短期補習班;信義區松隆路208號1樓;(02);北市教終字第1133012089　號;2024-07-31;;美術、書法、攝影、美工設計、圍棋類;臺北市政府
15;揚昇樂器有限公司附設臺北市私立樂揚音樂文理技藝短期補習班;北投區西安街一段349號2樓;(02)28222018;北市教終字第1133011916　號;2024-07-29;yam7413@yahoo.com.tw;文理類;臺北市政府
16;智慧樹教育出版股份有限公司附設臺北市私立好筆文理短期補習班;大安區復興南路2段125巷17號1樓;(02)27005166;北市教終字第1133012681號;2024-07-26;;文理類;臺北市政府
