序號,補習班,設立人,班主任,班 址,電 話,廢止/註銷,發文日期,廢止/註銷文號,廢止/註銷日期,縣市
1,臺北市私立孫易新心智圖法文理商業技藝短期補習班,孫易新,孫易新,信義區忠孝東路5段508之3號1樓及地下1樓,(02)23466136,註銷,2024-10-17,北市教終字第1133102790號,2024-10-17,台北市
2,臺北市私立思倍德美術短期補習班,林千鈴,藍彩綾,松山區富錦街384號1樓,27425402,註銷,2024-10-15,北市教終字第1133101455號,2024-10-15,台北市
3,臺北市私立冠英文理短期補習班木柵分班,高欣瑜,高欣瑜,文山區木柵路3段127號2樓,22349971,註銷,2024-10-14,北市教終字第1133101863號,2024-10-14,台北市
4,臺北市私立見學文理短期補習班,孫美雲,張嘉倫,萬華區康定路130號1樓,23708018,註銷,2024-10-07,北市教終字第1133099975號,2024-10-07,台北市
5,孔孟文化事業有限公司附設臺北市私立澤理文理短期補習班,孔孟文化事業有限公司(趙文瑜),廖子芳,松山區民生東路4段80巷11弄4號1樓,02-27181889,註銷,2024-10-07,北市教終字第1133099143號,2024-10-07,台北市
6,臺北市私立牧學文理短期補習班,彭瑞君,彭瑞君,文山區木新路3段127巷12弄1號1樓及地下1樓,0222343590,註銷,2024-10-07,北市教終字第1133099416號,2024-10-07,台北市
7,臺北市私立怡飛舞集技藝短期補習班,陳榕,陳榕,大同區重慶北路3段254號2、3樓,25944154,註銷,2024-10-04,北市教終字第1133098476號,2024-10-04,台北市
8,臺北市私立白鯨英語短期補習班,陳琮雅,陳琮雅,信義區光復南路429號2樓,23458339,註銷,2024-10-04,北市教終字第1133098593號,2024-10-04,台北市
9,洋學有限公司附設臺北市私立雙園文理短期補習班,洋學有限公司，負責人：勞德禎,鍾穎婷,萬華區西園路2段292號2樓,23327785,註銷,2024-10-01,北市教終字第1133097992號,2024-10-01,台北市
10,臺北市私立正中文理補習班景興分班,顧正中,吳秋雁,文山區景華街135號1樓.134號1樓,89310080,註銷,2024-10-01,北市教終字第1133098507號,2024-10-01,台北市
11,臺北市私立葉鴻文理短期補習班,葉瀚芸,葉瀚芸,信義區松山路421號6樓,23460769,廢止,2024-09-26,北市教終字第1133097065號,2024-09-26,台北市
12,臺北市私立邱博文文理短期補習班,邱明煌,邱明煌,中正區衡陽路51號3樓之5,23131568,註銷,2024-09-25,北市教終字第1133097117號,2024-09-25,台北市
13,臺北市私立聚賢文理短期補習班忠孝分班,郭鳳蘭,郭鳳蘭,南港區中坡南路49巷3號(1層)、5號(1層),27864499,註銷,2024-09-18,北市教終字第1133095505號,2024-09-18,台北市
14,臺北市私立精殷畫室技藝短期補習班,黃貴圓,史凱菱,松山區南京東路4段75巷14弄15號1樓,0936080663,註銷,2024-09-10,北市教終字第1133092149號,2024-09-10,台北市
15,臺北市私立哈比登外語文理短期補習班大安分班,張瑞芬,張瑞芬,大安區羅斯福路3段283巷4弄13號1樓,(02)2365-2323,註銷,2024-09-10,北市教終字第1133092330號,2024-09-10,台北市
16,臺北市私立伯克徠語文短期補習班,劉宇凱,曾郁雯,大安區新生南路3段23之1號1樓及25巷1號1樓,23670028,註銷,2024-09-10,北市教終字第1133092336號,2024-09-10,台北市
17,臺北市私立璀璨美容美甲藝術短期補習班,歐玟利,林皓云,中正區懷寧街74號4樓,23715509,註銷,2024-09-06,北市教終字第1133092096號,2024-09-06,台北市
18,臺北市私立比利馬文理短期補習班,楊翔雲,楊宗林,文山區木柵路1段87號2樓,0222362468,註銷,2024-09-02,北市教終字第1133090304號,2024-09-02,台北市
19,臺北市私立咪咪蒙特梭利技藝文理短期補習班,吳東海,吳孟霖,內湖區陽光街68巷165號1樓,(02)26578368,註銷,2024-09-02,北市教終字第1133090222號,2024-09-02,台北市
20,三摩地有限公司附設臺北市私立敦化三摩地瑜珈短期補習班,三摩地有限公司(陳若菁),何宜謙,松山區敦化南路1段90號2樓之1,0227118996,註銷,2024-08-27,北市教終字第1133088100號,2024-08-27,台北市
