序號;補習班名稱;班址;電話;立案文號;立案日期;電子郵件;短期補習班類別;地區縣市
1;臺北市私立文城文理短期補習班港墘分班;內湖區內湖路1段667巷9號1樓;(02)26270319;北市教終字第1133018304號;2024-10-16;wmchneihu168@gmail.com;文理類;臺北市政府
2;臺北市私立上榜文理短期補習班壹號分班;內湖區東湖路33巷1號2樓;(02)26335927;北市教終字第1133016792號;2024-10-11;abrahamchen7348@hotmail.com;文理類;臺北市政府
3;臺北市私立跨時代文理技藝短期補習班;松山區延壽街376號1樓;0928492658;北市教終字第1133017095號;2024-10-01;judy.tseng@taiwanmontessori.net;文理類;臺北市政府
4;赫琪資訊有限公司附設臺北市私立赫琪電腦技藝短期補習班;中正區開封街1段37號4樓之1;(02)2375-3888;北市教終字第1133017094號;2024-09-18;smith@appedu.com.tw;資訊類;臺北市政府
5;臺北市私立劉益和文理短期補習班木柵分班;文山區開元街1號（一層、二層）;(02)2937-8399;北市教終字第1133016343號;2024-09-10;chrisny.tseng@gmail.com;文理類;臺北市政府
6;臺北市私立恩迪文理技藝短期補習班光復二分班;松山區光復北路214號1樓;(02)2712-8985;北市教終字第1133015719號;2024-09-09;irisirischen1116@gmail.com;文理類;臺北市政府
7;臺北市私立快樂城堡技藝短期補習班;松山區八德路3段34號8樓之1;0910929428;北市教終字第1133015788號;2024-09-06;donb0307@gmail.com;音樂、舞蹈類;臺北市政府
8;臺北市私立孚玨藝術空間技藝短期補習班;內湖區內湖路2段357號2樓;(02)26272357/0966179130;北市教終字第1133016160號;2024-09-06;ross1101@hotmail.com;美術、書法、攝影、美工設計、圍棋類;臺北市政府
9;臺北市私立博學堂文理技藝短期補習班;信義區虎林街164巷12號1樓;0919-503-223;北市教終字第1133015721號;2024-09-02;boxuetang2024@gmail.com;文理類;臺北市政府
10;翱翔學苑顧問有限公司附設私立翱翔學苑文理技藝短期補習班;大同區長安西路106號3樓之3;(02)27293665;北市教終字第1133014536號;2024-08-27;op@fttw.com.tw;文理類;臺北市政府
11;國際數感教育股份有限公司附設私立美數文理技藝短期補習班;大安區新生南路2段8之1號1樓;(02)23587521;北市教終字第1133014036號;2024-08-23;ana.da@numeracylab.com;文理類;臺北市政府
12;臺北市私立恩迪文理技藝短期補習班光復分班;松山區光復北路216號1樓;(02)27180079;北市教終字第1133014457號;2024-08-23;jack123@outlook.com;文理類;臺北市政府
13;臺北市私立小天心米米文理技藝短期補習班;大安區羅斯福路3段273號2樓;(02)23630063;北市教終字第1133013801號;2024-08-19;winnie06230414@gmail.com;文理類;臺北市政府
14;臺北市私立動勵學技藝文理短期補習班;士林區中山北路6段350號2樓;(02)2835-5262;北市教終字第1133015030號;2024-08-16;;文理類;臺北市政府
15;臺北市私立璽典美學文理技藝短期補習班;內湖區石潭路65號1樓;0912490361;北市教終字第1133013900號;2024-08-15;bliss.academylove@gmail.com;文理類;臺北市政府
16;網安智慧科技股份有限公司附設私立網安智慧科技電腦技藝短期補習班;中山區天祥路59號2樓;(02)25856900;北市教終字第1133014198號;2024-08-15;celina.fu@nsit.com.tw;資訊類;臺北市政府
17;臺北市私立謙誠文理短期補習班;士林區忠誠路1段171巷8號1樓;(02)2833-1606;北市教終字第1133014144號;2024-08-14;joyenglishtianmu@gmail.com;文理類;臺北市政府
18;共學堂文教有限公司附設臺北市私立共學堂文理短期補習班;文山區忠順街1段127號1樓;(02)2939-7900;北市教終字第1133014035號;2024-08-13;ydk_29333323@meikoschool.com.tw;文理類;臺北市政府
19;喜閱樹有限公司附設臺北市私立喜閱樹文理短期補習班;文山區興隆路1段235號1樓;(02)2931-1340;北市教終字第1133014034號;2024-08-13;readthinktree@gmail.com;文理類;臺北市政府
20;臺北市私立唯思文理短期補習班;內湖區康寧路3段165巷25弄6號1樓;(02)26332933;北市教終字第1133013278號;2024-08-08;a1m2y36@gmail.com;文理類;臺北市政府
21;長清民生有限公司附設臺北市私立長清圍棋技藝短期補習班民生分班;松山區富錦街489號1樓;(02)27670178;北市教終字第1133013190號;2024-08-05;hjjgotpms2024@gmail.com;美術、書法、攝影、美工設計、圍棋類;臺北市政府
1;私立加音音樂技藝短期補習班;板橋區三民路2段28號4樓;0229543826;1131729894;2024-10-14;;音樂、舞蹈類;新北市政府
2;私立大華書院文理短期補習班;板橋區中山路2段291之7號(1層);0222582863;1131733171;2024-10-14;;文理類;新北市政府
3;私立愛德文理技藝短期補習班;三重區集美街123號2樓;0229760657;1131601459;2024-10-04;;文理類;新北市政府
4;私立三格湖文理技藝短期補習班;林口區四維路180號、180號2樓、180號2樓之1;0226017585;1131698058;2024-10-04;;文理類;新北市政府
5;生煇有限公司附設私立生煇文理技藝短期補習班;新莊區中榮街90號2樓;0936412593;1131572035;2024-09-19;;文理類;新北市政府
6;私立愛兒小學堂文北文理技藝短期補習班;林口區文化北路1段280號(1、2層);0972727987;1131687574;2024-09-18;;文理類;新北市政府
7;私立緻遠數學博愛校文理短期補習班;永和區博愛街2號(1、2層);0229231515;1131722928;2024-09-16;;文理類;新北市政府
