序號,補習班名稱,班址,電話,立案文號,立案日期,電子郵件,短期補習班類別,地區縣市
1,臺北市私立張赫數學文理短期補習班康寧分班,內湖區康寧路3段189巷6號2樓,(02)26310890,北市教終字第1133010854號,2024-06-27,changhyuk38491499@gmail.com,文理類,臺北市政府
2,艾思程式教育股份有限公司附設臺北市私立艾思程式技藝文理短期補習班,中山區北安路538巷1弄5號1樓,(02)2533-2133,北市教終字第1133009940號,2024-06-13,service@beyond-coding.org.tw,文理類,臺北市政府
3,臺北市私立文城文理短期補習班天母甲分班,士林區忠誠路2段170號2樓,(02)28766722,北市教終字第1133009305　號,2024-06-06,joey.wang@wmch.net,文理類,臺北市政府
4,臺北市私立邦妮兔音樂文理技藝短期補習班,大安區忠孝東路3段217巷6弄12號1樓,(02)22590316,北市教終字第1133010023號,2024-06-04,,文理類,臺北市政府
5,臺北市私立文城文理短期補習班天母分班,士林區忠誠路2段170號1樓,(02)28766722,北市教終字第1133008848號,2024-05-31,joey.wang@wmch.net,文理類,臺北市政府
6,台灣碳淨零股份有限公司附設臺北市私立碳淨零文理短期補習班,中正區公園路38號3樓,(02)2388-6661,北市教終字第1133008014號,2024-05-16,davidlaintu@msn.com,文理類,臺北市政府
7,臺北市私立張赫數學文理短期補習班東湖分班,內湖區康寧路3段189巷2號2、3、4、5樓,(02)26310890,北市教終字第1133007797號,2024-05-10,changhyuk38491499@gmail.com,文理類,臺北市政府
8,臺北市私立多佳文理短期補習班麗山分班,內湖區麗山街348巷1號1樓,(02)87977999,北市教終字第1133000038號,2024-05-10,joanna.hsu68@gmail.com,文理類,臺北市政府
9,舞育文創有限公司附設臺北市私立私立舞動世界新生技藝短期補習班,大安區忠孝東路3段100號3樓,(02)2778-8007,北市教終字第1133007816號,2024-05-10,dances922@gmail.com,音樂、舞蹈類,臺北市政府
10,臺北私立晨新文理短期補習班,信義區永吉路127巷30弄2號1樓,(02)27672658,北市府教終字第1133007643號,2024-05-09,rachelliao725@gmail.com,文理類,臺北市政府
11,臺北市私立路易思文理短期補習班,文山區景華街165之1號1樓、之2號1樓,(02)2931-8599,北市教終字第1133007648號,2024-05-08,luisashe@gmail.com,文理類,臺北市政府
12,臺北市私立寶鳴故事島文理短期補習班,信義區信義路5段150巷401弄14號1樓,0987540694,北市教終字第1133006786號,2024-04-26,blueboo0907@gmail.com,文理類,臺北市政府
13,林瀚英語教育訓練有限公司附設臺北市私立林瀚英語文理短期補習班木柵分班,文山區忠順街1段26巷3弄1號1樓,(02)2397-0100,北市教終字第1133006305號,2024-04-15,abckids.steam@gmail.com,文理類,臺北市政府
14,福爾摩莎華語交流文化事業有限公司附設臺北市私立寶島文理短期補習班,大安區羅斯福路3段335號3樓,0970-629824/0900551999,北市教終字第1133006220號,2024-04-12,funfanglin@gmail.com,文理類,臺北市政府
15,臺北市私立白石美術技藝短期補習班,內湖區港華街59號1樓,0910602009,北市教終字第1133005424號,2024-04-10,evan578@hotmail.com,美術、書法、攝影、美工設計、圍棋類,臺北市政府
16,臺北市私立寰兒文理技藝電腦短期補習班,中山區復興北路154號9樓,(02)27127272,北市教終字第1133004939號,2024-04-08,huiglobal@gmail.com,文理類,臺北市政府
17,臺北市私立鑽攻英文文理短期補習班,大安區信義路3段106號2樓之4,0912094965/0909555202,北市教終字第1133005645號,2024-04-01,xxw1032433214@gmail.com,文理類,臺北市政府
18,智慧樹教育出版股份有限公司附設臺北市私立鉛筆文理短期補習班,大同區承德路3段58號9樓之5、之6,(02)25921233,北市教終字第1133000022號,2024-03-27,pug8773@gmail.com,文理類,臺北市政府
19,臺北市私立精殷畫室技藝短期補習班,松山區南京東路4段75巷14弄15號1樓,0936080663,北市教終字第1133004420號,2024-03-25,emmahuang86.eh@gmail.com,美術、書法、攝影、美工設計、圍棋類,臺北市政府
20,臺北市私立共學小花園文理技藝短期補習班,內湖區康寧路1段128號3樓,0921423220,北市教終字第1133004472號,2024-03-21,stella730706@gmail.com,文理類,臺北市政府
21,臺北市私立哲任文理技藝短期補習班,士林區中山北路6段405巷74號1樓及76號1樓,(02)2876-2777,北市教終字第1133003458號,2024-03-21,happymandy666@gmail.com,文理類,臺北市政府
22,臺北市私立瀚軒文理技藝短期補習班,士林區天母北路39號1樓,(02)2872-4565,北市教終字第1133003662號,2024-03-21,oxdeidaraxo@gmail.com,文理類,臺北市政府
23,臺北市私立愛爾文理短期補習班,文山區景福街240號1樓,(02)2931-0499,北市教終字第1133004636號,2024-03-20,irenesenglishinstitute@gmail.com,文理類,臺北市政府
24,臺北市私立美好藝文文理技藝短期補習班,松山區復興北路179號4樓之1,0921608416,北市教終字第1133004516號,2024-03-18,louisadoemo@gmail.com,文理類,臺北市政府
25,臺北市私立新生學園文理技藝短期補習班,文山區仙岩路46號1樓、1樓夾層,(02)8931-2011,北市教終字第1133003194號,2024-03-06,imfeng0708@gmail.com,文理類,臺北市政府
26,臺北市私立樂學文理技藝短期補習班,松山區富錦街359巷2弄2號1樓,(02)2765-2755,北市教終字第1133002920號,2024-02-27,jlr1510@gmail.com,文理類,臺北市政府
27,臺北市私立慈暉文理技藝短期補習班,士林區永平街46巷1弄4號1樓,(02)2811-3589,北市教終字第1133002468號,2024-02-06,,文理類,臺北市政府
28,網路地球村語文資訊有限公司附設臺北市私立地球村文理短期補習班松北分班,松山區南京東路3段346號6樓,(02)5556-7777,北市教終字第1133002128號,2024-02-05,gvoedu888@gmail.com,文理類,臺北市政府
29,享知文教股份有限公司附設臺北市私立探險家英語文理短期補習班,大安區和平東路2段34號2樓,(02)23686068,北市教終字第1133002126號,2024-02-05,expl.english@gmail.com,文理類,臺北市政府
30,臺北市私立想放美術技藝短期補習班,內湖區民權東路6段49號1樓,0927101736,北市教終字第1133001738號,2024-01-29,egwu69@gmail.com,美術、書法、攝影、美工設計、圍棋類,臺北市政府
31,弋果文化事業股份有限公司附設臺北市私立弋果文理短期補習班,信義區信義路5段111號1樓,(02)2722-0558,北市教終字第1133001737號,2024-01-24,dunhua.tp@eagletw.com,文理類,臺北市政府
32,臺北市私立享趣學文理技藝短期補習班,大安區敦化南路2段63巷46號1樓,(02)23250820,北市教終字第1133000001號,2024-01-24,keensprouts.club@gmail.com,文理類,臺北市政府
33,誠果文化有限公司附設臺北市私立永安文理短期補習班,中山區明水路479號1樓,(02)25332111,北市教終字第1133001254號,2024-01-17,yongan.tp@eagletw.com,文理類,臺北市政府
34,臺北市私立奇蹟家族技藝文理短期補習班,信義區永吉路127巷23號1樓,(02)7729-0339,北市教終字第1123068567號,2024-01-11,kikifamilymarketing@gmail.com,文理類,臺北市政府
35,臺北市私立振瀧文理短期補習班,萬華區東園街73巷78號1樓、地下1樓,(02)2301-0328,北市教終字第1123068239號,2024-01-11,isaacsr0131@gmail.com,文理類,臺北市政府
36,臺北市私立奎奇英文文理短期補習班,大安區新生南路1段155號4樓,0955896067,北市教終字第1123068240號,2024-01-10,reticent1010@gmail.com,文理類,臺北市政府
37,臺北市私立寰國文理短期補習班,北投區石牌路1段188號8樓,(02)28226791,北市教終字第1123066566號,2023-12-22,huiglobal@gmail.com,文理類,臺北市政府
38,臺北市私立心禾文理技藝短期補習班,內湖區港墘路63號1、2層,0933897586,北市教終字第1123066764號,2023-12-12,shpreschool7577@gmail.com,文理類,臺北市政府
39,鹿學教育股份有限公司附設臺北市私立鹿學文理技藝短期補習班,中正區信義路2段157號1、2樓,(02)2536-1116,北市教終字第1123065901號,2023-12-05,deerkidstw@gmail.com,文理類,臺北市政府
1,高點教育科技股份有限公司附設私立北大高點文理短期補習班,三峽區大學路156之5號(1、2層),0226735568,1130912799,2024-06-24,,文理類,新北市政府
2,私立全慧文理短期補習班,中和區廣福路67號(1、2層),(02)22460069,府教社字第1131023996　號,2024-06-24,,文理類,新北市政府
3,私立泰瑞光華文理短期補習班,新莊區成功街83巷10號(1層),0222026020,1130998253,2024-06-18,,文理類,新北市政府
4,私立樹洞美語文理技藝短期補習班,三重區集智街60號(1、2層),0229120827,1131043608,2024-06-18,,文理類,新北市政府
5,私立永田文理技藝短期補習班,新店區永新街28號2樓,02-29120827,1130984669,2024-06-17,,文理類,新北市政府
6,私立新米蘭音樂技藝短期補習班,板橋區陽明街48號2樓,02-82511580,1130940707,2024-06-07,,音樂、舞蹈類,新北市政府
7,私立文城未來城文理短期補習班,林口區四維路60號(1、2層),02-26030768,,2024-06-07,,文理類,新北市政府
8,私立吉美文理短期補習班,淡水區崁頂三路99之6號(1層),02-???????,1130824648,2024-06-07,,文理類,新北市政府
9,私立宏遍文化文理短期補習班,新莊區頭前路116號(1層及夾層),02-29913568,1130743675,2024-05-31,,文理類,新北市政府
10,私立星燦文理短期補習班,板橋區莊敬路48號3樓,02-0000000,1130886287,2024-05-23,,文理類,新北市政府
11,私立文城周杰大豐文理短期補習班,新店區民族路89號2樓,02-29101136,1130743677,2024-05-22,,文理類,新北市政府
12,私立歐贏美語文理短期補習班,新店區安康路2段178號2樓,02-86666013,1130790917,2024-05-21,,文理類,新北市政府
13,私立棋樂園文理技藝短期補習班,淡水區民權路187巷60號1(層),02-28082500,1130791884,2024-05-20,,文理類,新北市政府
14,私立新成大文理短期補習班,三峽區弘園街28號(1層),02-86710228,1130754867,2024-05-16,,文理類,新北市政府
15,統頌文教事業有限公司附設私立旭學好文理技藝短期補習班,板橋區篤行路3段67號2樓,02-26758222,1130766926,2024-05-16,amigo1296star@gmail.com,文理類,新北市政府
16,私立育新教育文理短期補習班,永和區竹林路74號1、2樓,02-29265555,1130817455,2024-05-16,,文理類,新北市政府
17,私立貝蓓文理技藝短期補習班,土城區立德路74巷7號(1、2層),02-82625178,1130732302,2024-05-16,,文理類,新北市政府
18,私立欣欣文理短期補習班短期補習班,淡水區崁頂三路87號(1層)、89號(1層)、新市三路1段338號(1層),(02)28050111,府教社字第1130701417　號,2024-05-15,,文理類,新北市政府
19,私立育丞文理技藝短期補習班,板橋區莒光路16巷9號(1層),02-82595199,1130679768,2024-05-10,,文理類,新北市政府
20,琦荃全腦開發有限公司附設私立愛思維文理短期補習班,土城區中央路2段177巷20號(1層)及2樓,02-22700194,1130609037,2024-05-03,lovesway13914@gmail.com,文理類,新北市政府
21,私立立鼎文理短期補習班,土城區興城路81號1層及2樓及千歲路8號1層,,1130544201,2024-04-30,,文理類,新北市政府
22,私立賦格藝術音樂苑技藝短期補習班,林口區文化三路1段191巷3號1、2層,02-26068493,1130581562,2024-04-25,,音樂、舞蹈類,新北市政府
23,私立星優朵文理技藝短期補習班,新莊區中平路379號7樓,02-22791519,1130519808,2024-04-24,,文理類,新北市政府
24,私立奧絲文理技藝短期補習班,三重區自由街17巷14號1樓,02 -29711238,1130526927,2024-04-22,,文理類,新北市政府
25,英協文教有限公司附設私立文化文理短期補習班,林口區文化二路1段390號3樓、3樓之1、3樓之2、3樓之6,(02)87221000,府教社字第1130394893　號,2024-04-22,sikav.lien@britishcouncil.org.tw,文理類,新北市政府
26,私立波莫納文理技藝短期補習班,林口區仁愛路2段502之1號1層、502之2號1層,02-77289231,1130375475,2024-04-12,,文理類,新北市政府
27,私立橄欖樹昌平語文文理短期補習班,新莊區榮華路1段153號1層,(02)89956998,府教社字第1130377590　號,2024-04-09,,文理類,新北市政府
28,私立達成文理短期補習班,永和區福和路163號1、2層,02-29266380,1130394892,2024-04-08,joey.wang@wmch.net,文理類,新北市政府
29,米高美股份有限公司附設私立貝爾苑海山文理技藝短期補習班,板橋區民族路151巷28之1號(1、2樓),02-29527777,1130480013,2024-04-02,,文理類,新北市政府
30,私立康詠語文文理短期補習班,板橋區永豐街49巷10號1、2層,(02)89522468,府教社字第1130321053　號,2024-03-29,,文理類,新北市政府
31,何嘉仁文教事業股份有限公司附設私立明德文理短期補習班,土城區學士路413號4、5、6樓,02-27022873,1130325799,2024-03-29,,文理類,新北市政府
32,私立凱希文理短期補習班,板橋區板橋區民族路187號(1層),(02)29565733,府教社字第1130389679　號,2024-03-27,,文理類,新北市政府
33,私立藝思伯樂文理技藝短期補習班,板橋區金華街9巷3號(1層),02-29653699,1130400361,2024-03-26,,文理類,新北市政府
34,艾爾森國際文教事業股份有限公司附設私立艾爾森文理短期補習班,淡水區中山北路3段51號(1層),02-86310023,1130383207,2024-03-22,,文理類,新北市政府
35,私立優越思創文理短期補習班,板橋區漢生東路297之1號(1、2層),02-29589528,1130364695,2024-03-20,,文理類,新北市政府
36,私立韋德文理短期補習班,三峽區大學路31號4樓,(02)26710026,府教社字第1130283577　號,2024-03-19,,文理類,新北市政府
37,私立誠睿文理短期補習班,新莊區裕民街85巷2號1樓(由85巷2號及85巷22弄20號合併),02-29011712,1130267690,2024-03-13,alan.huang0103@gmail.com,文理類,新北市政府
38,私立思全文理短期補習班,淡水區新市一路3段101巷16弄48號1層,02-26239349,1130219136,2024-03-12,,文理類,新北市政府
39,私立樂學習昌平文理短期補習班,新莊區中原東路93號1層及夾層,02-285211290,1130134768,2024-03-05,,文理類,新北市政府
40,私立舞蹈天使童顏舞集技藝短期補習班,泰山區明志路2段318號2樓,02-22976466,1130144020,2024-03-05,,音樂、舞蹈類,新北市政府
41,私立若怯如愚文理短期補習班,新莊區鳳山街56巷53號1樓,02-26907676,1130192123,2024-03-05,,文理類,新北市政府
42,明光文教事業股份有限公司附設私立進塾得和文理短期補習班,永和區得和路121號(1、2層),02-22331377,1130299329,2024-03-04,,文理類,新北市政府
43,私立全宥文理技藝短期補習班,永和區竹林路66巷4號(1層)、64號2樓,02-29266592,1130162917,2024-03-04,angel02882000@yahoo.com.tw,文理類,新北市政府
44,私立碩果時間文理短期補習班,永和區保福路2段136號(由134號1樓、136號1樓合併),02-29254989,1130185257,2024-02-20,,文理類,新北市政府
45,私立奧創文理短期補習班,三重區集賢路161號1、2樓,0228570994,1130101777,2024-02-19,,文理類,新北市政府
46,私立樂馨音樂技藝短期補習班,新莊區中平路127號2樓,0939878865,1130101778,2024-02-16,,音樂、舞蹈類,新北市政府
47,私立高手文理短期補習班,樹林區樹新路211號、211之1號,0226825101,1130156906,2024-02-16,,文理類,新北市政府
48,私立翊誠文理短期補習班,三重區忠孝路3段8號2樓,0229850802,1130047007,2024-02-15,,文理類,新北市政府
49,私立禾欣文理短期補習班,永和區民生路31號2樓,0911731194,1130099821,2024-02-05,,文理類,新北市政府
50,私立塏地安文理技藝短期補習班,新莊區頭前路138號1層及夾層,29905520,1130090032,2024-02-02,,文理類,新北市政府
51,吾思有限公司附設私立吾思文理短期補習班,中和區景新街107號1、2樓,0282455805,1122395689,2024-01-15,,文理類,新北市政府
52,私立好樂耳技藝短期補習班,泰山區明志路2段229號1、2樓,22978609,1122576918,2024-01-11,goodearmusic520@gmail.com,音樂、舞蹈類,新北市政府
53,私立語樂美語文理短期補習班,板橋區莒光路77之1號1、2樓,22527979,1122313871,2024-01-11,,文理類,新北市政府
54,私立日進文理短期補習班,淡水區民族路50巷36號3樓,28090992,1122514531,2024-01-10,,文理類,新北市政府
55,私立象邸文理技藝短期補習班,蘆洲區仁愛街77巷22號(1層),82866808,1122508993,2024-01-09,seetheelephant1224@gmail.com,文理類,新北市政府
56,裕仁文教有公司附設私立裕仁文理短期補習班,新莊區中原路81-1號(1、2層),29901085,1122395688,2023-12-29,,文理類,新北市政府
57,鼎仁文教有限公司附設私立鼎仁文理短期補習班,三重區三賢街71號(1層及夾層),28559328,1122320585,2023-12-28,,文理類,新北市政府
